arquivo_antigo,arquivo_novo,titulo,legenda,hashtags,duracao,data_geracao
corte-1-legendado.mp4,corte-1-legendado-2.mp4,Corte-1-legendado,"Corte-1-legendado

corte-1-legendado",#shorts #motivacao #video,,2025-09-09 18:12:54
corte-2-legendado.mp4,corte-2-legendado-2.mp4,Corte-2-legendado,"Corte-2-legendado

corte-2-legendado",#shorts #motivacao #video,,2025-09-09 18:12:54
corte-3-legendado.mp4,corte-3-legendado-2.mp4,Corte-3-legendado,"Corte-3-legendado

corte-3-legendado",#shorts #motivacao #video,,2025-09-09 18:12:54
corte-4-legendado.mp4,corte-4-legendado-2.mp4,Corte-4-legendado,"Corte-4-legendado

corte-4-legendado",#shorts #motivacao #video,,2025-09-09 18:12:54
corte-5-legendado.mp4,corte-5-legendado-2.mp4,Corte-5-legendado,"Corte-5-legendado

corte-5-legendado",#shorts #motivacao #video,,2025-09-09 18:12:54
corte-6-legendado.mp4,corte-6-legendado-2.mp4,Corte-6-legendado,"Corte-6-legendado

corte-6-legendado",#shorts #motivacao #video,,2025-09-09 18:12:54
corte-1-legendado-2.mp4,corte-1-legendado-2-2.mp4,Corte-1-legendado-2,"Corte-1-legendado-2

corte-1-legendado-2",#shorts #motivacao #video,,2025-09-09 18:14:25
corte-2-legendado-2.mp4,corte-2-legendado-2-2.mp4,Corte-2-legendado-2,"Corte-2-legendado-2

corte-2-legendado-2",#shorts #motivacao #video,,2025-09-09 18:14:25
corte-3-legendado-2.mp4,corte-3-legendado-2-2.mp4,Corte-3-legendado-2,"Corte-3-legendado-2

corte-3-legendado-2",#shorts #motivacao #video,,2025-09-09 18:14:25
corte-4-legendado-2.mp4,corte-4-legendado-2-2.mp4,Corte-4-legendado-2,"Corte-4-legendado-2

corte-4-legendado-2",#shorts #motivacao #video,,2025-09-09 18:14:25
corte-5-legendado-2.mp4,corte-5-legendado-2-2.mp4,Corte-5-legendado-2,"Corte-5-legendado-2

corte-5-legendado-2",#shorts #motivacao #video,,2025-09-09 18:14:25
corte-6-legendado-2.mp4,corte-6-legendado-2-2.mp4,Corte-6-legendado-2,"Corte-6-legendado-2

corte-6-legendado-2",#shorts #motivacao #video,,2025-09-09 18:14:25
corte-1-legendado-2-2.mp4,corte-legendado.mp4,📱 corte - legendado,"corte-1-legendado-2-2

👍 Curta e compartilhe se gostou!",#shorts #cortedevideo #viral #fyp #conteudo #aprendizado #crescimento #desenvolvimento #corte #legendado,,2025-09-09 18:23:31
corte-2-legendado-2-2.mp4,corte-legendado-2.mp4,📱 corte - legendado,"corte-2-legendado-2-2

👍 Curta e compartilhe se gostou!",#shorts #cortedevideo #viral #fyp #conteudo #aprendizado #crescimento #desenvolvimento #corte #legendado,,2025-09-09 18:23:31
corte-3-legendado-2-2.mp4,corte-legendado-3.mp4,📱 corte - legendado,"corte-3-legendado-2-2

👍 Curta e compartilhe se gostou!",#shorts #cortedevideo #viral #fyp #conteudo #aprendizado #crescimento #desenvolvimento #corte #legendado,,2025-09-09 18:23:31
corte-4-legendado-2-2.mp4,corte-legendado-4.mp4,📱 corte - legendado,"corte-4-legendado-2-2

👍 Curta e compartilhe se gostou!",#shorts #cortedevideo #viral #fyp #conteudo #aprendizado #crescimento #desenvolvimento #corte #legendado,,2025-09-09 18:23:31
